"movie_odid","display_name","release_odid","release_name","video_release_date","type","distributor"
"303910100","Hellboy","209390119","Hellboy","2019-07-23","Regular","Lionsgate Home Entertainment"
"303930100","BlacKkKlansman","185970119","BlacKkKlansman","2018-10-23","Online Only","Universal Home Entertainment"
"303940100","Acts of Vengeance","165540119","Acts of Vengeance","2017-11-28","Regular","Lionsgate Home Entertainment"
"304020100","That’s Not Me","170160119","Thats Not Me","2018-02-13","Online Only","The Orchard"
"304090100","Aladdin","211980119","Aladdin","2019-08-27","Online Only","Walt Disney Home Entertainment"
"304120100","Behind the Walls","193410119","Behind the Walls","2018-11-27","Online and RedBox","Parade Deck Films"
"304130100","Bullet Head","165960119","Bullet Head","2017-12-08","Regular","Lionsgate Home Entertainment"
"304140100","Cops and Robbers","164880119","Cops and Robbers","2017-12-12","Regular","Lionsgate Home Entertainment"
"304160100","The Miracle Season","179180119","The Miracle Season","2018-07-31","Regular","Fox Home Entertainment"
"304180100","Sandome no satsujin","189980119","The Third Murder","2018-11-13","Regular","Film Movement Video"
"304330100","Red Trees","168510119","Red Trees","2018-01-23","Regular","Sony Pictures Home Entertainment"
"304430100","Alien Contact: Outer Space","160510119","Alien Contact Outer Space","2017-10-10","Regular","Cinedigm"
"304740100","The Croods: A New Age","260730119","The Croods: A New Age","2020-12-18","PVOD","Universal Home Entertainment"
"305030100","Black Christmas","229570119","Black Christmas","2020-03-03","Online Only","Universal Home Entertainment"
"305150100","Paul, Apostle of Christ","176130119","Paul, Apostle of Christ","2018-06-12","Online Only","Sony Pictures Home Entertainment"
"305180100","A*sholes","163320119","A*sholes","2017-10-24","Regular","Breaking Glass Pictures"
"305220100","The Departure","242580119","The Departure","2018-01-09","Regular","FilmRise"
"305250100","Wasted! The Story of Food Waste","192240119","Wasted! The Story of Food Waste","2017-10-13","Online Only","Virgil Films and Entertainment"
"305270100","Cinema Novo","160660119","Cinema Novo","2017-09-19","Regular","Icarus Home Video"
"305280100","Jesús","160670119","Jesus","2017-09-19","Regular","Breaking Glass Pictures"
"305290100","Dao khanong","160680119","By the Time it Gets Dark","2017-09-19","Regular","Kimstim"
"305340100","Maze","223640119","Maze","2019-06-25","Regular","Lightyear Video"
"305440100","Insyriated","178830119","In Syria","2018-06-12","Regular","Film Movement Video"
"305470100","Es war einmal in Deutschland...","181960119","Bye Bye Germany","2018-08-07","Regular","Film Movement Video"
"305600100","La leggenda del santo bevitore","161320119","The Legend of the Holy Drinker","2017-09-26","Regular","MVD"
"305630100","Christmas Wedding Planner","165620119","Christmas Wedding Planner","2017-11-28","Regular","Sony Pictures Home Entertainment"
"305650100","It: Chapter Two","220940119","It: Chapter Two","2019-11-19","Online Only","Warner Home Video"
"305660100","The House with a Clock in its Walls","188970119","The House with a Clock in its Walls","2018-11-27","Online Only","Universal Home Entertainment"
"305680100","Terminator: Dark Fate","224280119","Terminator: Dark Fate","2020-01-28","Regular","Paramount Home Video"
"305690100","The Little Stranger","191090119","The Little Stranger","2018-11-27","Regular","Universal Home Entertainment"
"305710100","Love, Simon","176610119","Love, Simon","2018-06-12","Regular","Fox Home Entertainment"
"305760100","7 Guardians of the Tomb","252930119","7 Guardians of the Tomb","2018-04-23","Regular","Gravitas Ventures"
"305770100","First Reformed","181370119","First Reformed","2018-07-31","Online Only","Lionsgate Home Entertainment"
"305870100","Men in Black: International","211460119","Men in Black: International","2019-08-20","Online Only","Sony Pictures Home Entertainment"
"305890100","Bad Day for the Cut","161940119","Bad Day for the Cut","2017-10-20","Online Only","Well Go USA Video"
"305930100","Nekrotronic","216260119","Nekrotronic","2019-09-10","Regular","Universal Home Entertainment"
"305940100","That Good Night","256620119","That Goodnight","2020-11-03","Online Only","Trinity Creative"
"306010100","Sniper: Ultimate Kill","161560119","Sniper Ultimate Kill","2017-10-03","Regular","Sony Pictures Home Entertainment"
"306140100","Suspiria","169930119","Suspiria","2018-03-13","Regular","Synapse Films"
"306150100","The Changeover","195160119","The Changeover","2019-02-22","Online Only","Vertical Entertainment"
"306190100","Long Shot","210220119","Long Shot","2019-07-16","Online Only","Lionsgate Home Entertainment"
"306260100","Il Contagio","181080119","Tainted Souls","2018-07-24","Regular","Breaking Glass Pictures"
"306360100","Revolt","167350119","Revolt","2017-12-26","Regular","Lionsgate Home Entertainment"
"306370100","Singularity","166160119","Singularity","2017-12-05","Regular","Lionsgate Home Entertainment"
"306410100","Bitch","165730119","Bitch","2018-01-09","Regular","Dark Sky Films"
"306450100","Hollow in the Land","167680119","Hollow in the Land","2018-01-09","Regular","Lionsgate Home Entertainment"
"306460100","The Mustang","205430119","The Mustang","2019-06-04","Online Only","Universal Home Entertainment"
"306490100","Them That Follow","219890119","Them That Follow","2019-10-22","Online Only","1091 Media"
"306500100","Beautiful Boy","197710119","Beautiful Boy","2019-01-03","Amazon Exclusive","Amazon Studios"
"306510100","The Front Runner","197610119","The Front Runner","2019-02-12","Regular","Sony Pictures Home Entertainment"
"306540100","Elis","173790119","Elis","2018-04-10","Online Only","The Orchard"
"306580100","Aliens Ate My Homework","171470119","Aliens Ate My Homework","2018-03-06","Regular","Universal Home Entertainment"
"306630100","Zoologiya","164620119","Zoology","2017-11-14","Regular","Arrow Video"
"306680100","Ghost Stories","174460119","Ghost Stories","2018-09-04","Regular","Shout Factory"
"306770100","Destroyer","202150119","Destroyer","2019-04-09","Online Only","Fox Home Entertainment"
"306780100","Ji zhi zhui ji: Long Feng Jie","184910119","S.M.A.R.T. Chase","2018-10-02","Regular","Universal Home Entertainment"
"306790100","Le Semeur","208330119","The Sower","2019-06-11","Regular","Film Movement Video"
"306820100","Fast & Furious Presents: Hobbs & Shaw","216150119","Fast & Furious Presents: Hobbs & Shaw","2019-10-15","Online Only","Universal Home Entertainment"
"306890100","Sweet Country","180000119","Sweet Country","2018-07-10","Regular","Sony Pictures Home Entertainment"
"306910100","Blame","169420119","Blame","2018-02-06","Regular","Sony Pictures Home Entertainment"
"306920100","Thoroughbreds","176160119","Thoroughbreds","2018-05-22","Online Only","Focus Features"
"306930100","Finding Your Feet","179650119","Finding Your Feet","2018-07-03","Regular","Sony Pictures Home Entertainment"
"306940100","Jane","167280119","Jane","2018-01-23","Online Only","National Geographic Video"
"307030100","Anna","214680119","Anna","2019-09-10","Online Only","Lionsgate Home Entertainment"
"307100100","Spies in Disguise","229800119","Spies in Disguise","2020-03-10","Regular","Fox Home Entertainment"
"307120100","Michael Jackson: Searching For Neverland","162090119","Michael Jackson Searching For Neverland","2017-10-10","Regular","Lionsgate Home Entertainment"
"307140100","A Very Brady Christmas","162130119","A Very Brady Christmas","2017-10-10","Regular","Paramount Home Video"
"307260100","Augie","171020119","Augie","2018-03-20","Regular","Virgil Films and Entertainment"
"307300100","Yoru Wa Mijikashi Aruke Yo Otome","192120119","The Night is Short, Walk on Girl","2019-01-29","Regular","Shout Factory"
"307360100","L’insulte","172710119","The Insult","2018-05-01","Regular","Sony Pictures Home Entertainment"
"307370100","Turtle Tale","179270119","Turtle Tale","2018-06-26","Regular","Lionsgate Home Entertainment"
"307400100","Creed II","195670119","Creed II","2019-03-05","Regular","Warner Home Video"
"307410100","Second Act","196430119","Second Act","2019-03-12","Online Only","Universal Home Entertainment"
"307420100","Condorito: La Pelicula","172990119","Condorito: The Movie","2018-03-27","Regular","Lionsgate Home Entertainment"
"307490100","Hostiles","171380119","Hostiles","2018-04-10","Online Only","Lionsgate Home Entertainment"
"307520100","Benjamin","250250119","Benjamin","2020-08-25","Regular","Artsploitation Films"
"307550100","Laissez bronzer les cadavres","194100119","Let the Corpses Tan","2019-01-08","Regular","Kino Lorber"
"307630100","The Strangers: Prey at Night","175590119","The Strangers: Prey at Night","2018-05-22","Online Only","Aviron Pictures"
"307660100","Shakespeare Wallah","173420119","Shakespeare Wallah","2018-04-03","Regular","Sony Pictures Home Entertainment"
"307680100","Le Vieil homme et l enfant","177220119","The Two of Us","2018-05-29","Regular","Sony Pictures Home Entertainment"
"307690100","RV: Resurrected Victims","169620119","RV: Resurrected Victims","2018-02-06","Online Only","Well Go USA Video"
"307700100","The Call of the Wild","232450119","The Call of the Wild","2020-03-27","Online Only","Fox Home Entertainment"
"307770100","Bad Lucky Goat","166660119","Bad Lucky Goat","2017-12-12","Regular","Film Movement Video"
"307900100","Titanic","162670119","Titanic","2017-10-17","Regular","Kino Lorber"
"307930100","The Gospel of Luke","162910119","Gospel of Luke The","2017-10-17","Regular","Lionsgate Home Entertainment"
"307940100","A Very Sordid Wedding","162940119","A Very Sordid Wedding","2017-10-17","Regular","Gravitas Ventures"
"308140100","The Party","176800119","The Party","2018-05-22","Regular","Lionsgate Home Entertainment"
"308200100","Barbie: Dolphin Magic","183900119","Barbie: Dolphin Magic","2018-08-28","Online Only",""
"308220100","Armed","185030119","Armed","2018-11-06","Regular","Sony Pictures Home Entertainment"
"308230100","Conor McGregor: Notorious","165140119","Conor McGregor: Notorious","2017-11-21","Online Only","Universal Home Entertainment"
"308240100","Hangman","167130119","Hangman","2017-12-22","Online Only","Lionsgate Home Entertainment"
"308340100","A Floresta das Almas Perdidas","181200119","The Forest of Lost Souls","2018-10-09","Regular","Wild Eye"
"308350100","Lizzie","189210119","Lizzie","2018-12-04","Online Only","Lionsgate Home Entertainment"
"308470100","1804: The Hidden History of Haiti","163180119","1804: The Hidden History of Haiti","2017-11-01","Regular","King Flex"
"308500100","For Ahkeem","166770119","For Ahkeem","2017-12-12","Online Only","The Orchard"
"308610100","Judy","221660119","Judy","2019-12-10","Online Only","Lionsgate Home Entertainment"
"308680100","Audubon","155090119","Audubon","2017-06-20","Regular","PBS"
"308690100","Heal","165970119","Heal","2017-12-05","Online Only","The Orchard"
"308810100","Mind Blown","163310119","Mind Blown","2017-10-24","Regular","Lionsgate Home Entertainment"
"308830100","The Old Dark House","163350119","The Old Dark House","2003-09-02","Regular","Kino Video"
"309020100","Bad Samaritan","179170119","Bad Samaritan","2018-08-03","Online Only","Sony Pictures Home Entertainment"
"309080100","La Piel Fria","193400119","Cold Skin","2018-10-16","Regular","Samuel Goldwyn"
"309200100","Trouble Is My Business","173220119","Trouble Is My Business","2018-04-03","Regular","Random Media"
"309240100","Wait For Your Laugh","175230119","Wait For Your Laugh","2018-05-01","Regular","Samuel Goldwyn"
"309300100","I am Not a Witch","195220119","I am Not a Witch","2019-01-22","Regular","Film Movement Video"
"309420100","47 Meters Down: Uncaged","220510119","47 Meters Down: Uncaged","2019-10-29","Online Only","Lionsgate Home Entertainment"
"309430100","Mandy","183040119","Mandy","2018-10-30","Regular","RLJ"
"309440100","A Score To Settle","206410119","A Score To Settle","2019-08-02","Regular","RLJ"
"309450100","Three Christs","242740119","Three Christs","2020-06-16","Regular","Shout Factory"
"309470100","Hereditary","181150119","Hereditary","2018-08-21","Online Only","Lionsgate Home Entertainment"
"309480100","Midsommar","215610119","Midsommar","2019-09-24","Online Only","A24"
"309490100","What They Had","193750119","What They Had","2019-01-08","Regular","Universal Home Entertainment"
"309520100","Yol Arkada??m","198590119","My Travel Buddy","2019-02-15","Regular","Netflix"
"309560100","The Secret Life of Lance Letscher","164340119","The Secret Life of Lance Letscher","2017-11-07","Regular","FilmRise"
"309590100","Thong Dee Fun Khao","163600119","Broken Sword Hero","2017-10-31","Regular","Well Go USA Video"
"309600100","The Shadow Man","163610119","The Shadow Man","2017-10-31","Regular","Sony Pictures Home Entertainment"
"309640100","Age of Kill","163670119","Age of Kill","2017-10-31","Regular","Sony Pictures Home Entertainment"
"309670100","La Voce Della Luna","163710119","The Voice of the Moon","2017-10-31","Regular","MVD"
"309680100","Habit","163730119","Habit","2017-10-31","Online Only","The Orchard"
"309740100","Batman: Gotham By Gaslight","167470119","Batman: Gotham By Gaslight","2018-01-23","Online Only","Warner Home Video"
"309750100","The Clapper","171520119","The Clapper","2018-03-06","Regular","Sony Pictures Home Entertainment"
"309770100","The Hurricane Heist","174500119","The Hurricane Heist","2018-05-29","Online Only","Lionsgate Home Entertainment"
"309830100","Final Score","189910119","Final Score","2018-11-13","Regular","Lionsgate Home Entertainment"
"309860100","A Christmas to Remember","163850119","Christmas to Remember A","2017-11-01","Regular","Hallmark"
"309890100","The Weight of Honor","163890119","Weight of Honor The","2017-11-07","Regular","Virgil Films and Entertainment"
"309900100","Gangster Land","163900119","Gangster Land","2017-12-01","Online Only","Cinedigm"
"309910100","Aus dem Nichts","174300119","In The Fade","2018-04-17","Online Only","Magnolia Home Entertainment"
"309980100","El Secreto de Marrowbone","181320119","Marrowbone","2018-08-07","Regular","Magnolia Home Entertainment"
"310040100","Nails","167700119","Nails","2018-01-09","Regular","Mpi Home Video"
"310060100","Book Club","179130119","Book Club","2018-08-28","Online Only","Paramount Home Video"
"310140100","The Shonku Diaries: A Unicorn Adventure","221440119","A Unicorn Adventure","2019-11-12","Regular","Lionsgate Home Entertainment"
"310170100","12 Deaths of Christmas","163970119","Mother Krampus","2017-11-07","Regular","Cinedigm"
"310180100","The Pastor’s Daughters","164000119","Pastors Daughters The","2017-11-07","Regular","Cinedigm"
"310190100","The Christmas Truce","164010119","Christmas Truce The","2017-11-07","Regular","Cinedigm"
"310200100","Der Nachtmahr","164060119","Nachtmahr Der","2017-11-07","Regular","Icarus Home Video"
"310240100","The Burning Bed","164170119","Burning Bed The","2017-11-07","Regular","Kino Lorber"
"310260100","The Swindlers","171630119","The Swindlers","2018-03-06","Online Only","Sony Pictures Home Entertainment"
"310320100","The Spearhead Effect","164270119","Spearhead Effect The","2017-11-07","Online Only","The Orchard"
"310370100","Vuelven","223050119","Tigers Are Not Afraid","2019-12-03","Online Only","RLJ"
"310390100","Anything","181560119","Anything","2018-07-31","Online Only","Lionsgate Home Entertainment"
"310400100","The Sandman","171530119","Sandman The","2018-03-06","Regular","Lionsgate Home Entertainment"
"310470100","Hello Again","169660119","Hello Again","2018-02-06","Online Only","The Orchard"
"310490100","Cartels","164400119","Cartels","2017-09-19","Regular","Lionsgate Home Entertainment"
"310610100","Grace Jones: Bloodlight and Bami","182720119","Grace Jones: Bloodlight and Bami","2018-08-14","Regular","Kino Lorber"
"310630100","Gauguin - Voyage de Tahiti","189400119","Gauguin","2018-11-06","Regular","Sony Pictures Home Entertainment"
"310760100","Dark River","184440119","Dark River","2018-09-04","Regular","FilmRise"
"310780100","Eric Clapton: A Life in 12 Bars","174650119","Eric Clapton: A Life in 12 Bars","2018-06-08","Regular","Eagle Vision"
"310790100","Truth or Dare","178690119","Truth or Dare","2018-07-03","Online Only","Universal Home Entertainment"
"310820100","Knights Templar: Rise and Fall","164470119","Knights Templar Rise and Fall","2017-12-05","Regular","Cinedigm"
"310830100","Shattered","164490119","Shattered","2017-12-05","Regular","Cinedigm"
"310850100","Koroshiya 1","172450119","Ichi The Killer","2013-03-26","Regular","Well Go USA Video"
"310910100","Kuang Shou","213460119","The Brink","2019-08-13","Regular","Well Go USA Video"
"310920100","Ying Jiu Fei Hu Dui","193790119","In Harm’s Way","2018-12-04","Regular","Shout Factory"
"310980100","Along With The Gods: The Two Worlds","173750119","Along With The Gods: The Two Worlds","2018-04-10","Regular","Well Go USA Video"
"311000100","Les Gardiennes","181380119","The Guardians","2018-09-11","Regular","Music Box Films Video"
"311080100","Every Day","175600119","Every Day","2018-05-22","Online Only","Warner Home Video"
"311190100","Acts of Violence","173050119","Acts of Violence","2018-03-27","Regular","Lionsgate Home Entertainment"
"311210100","Monsters at Large","171920119","Monsters at Large","2018-03-13","Regular","Lionsgate Home Entertainment"
"311220100","What Men Want","202110119","What Men Want","2019-04-23","Online Only","Paramount Home Video"
"311230100","Unsane","176150119","Unsane","2018-05-29","Online Only","Universal Home Entertainment"
"311290100","The Bookshop","194580119","The Bookshop","2019-01-15","Regular","Universal Home Entertainment"
"311410100","Ms. Matched","164910119","Ms Matched","2017-12-12","Regular","Hallmark"
"311430100","Elf on the Run","164930119","Elf on the Run","2017-12-05","Online Only","Cinedigm"
"311480100","The Hustle","212460119","The Hustle","2019-07-30","Online Only","Universal Home Entertainment"
"311490100","Inoperable","169290119","Inoperable","2018-02-06","Regular","Cinedigm"
"311500100","Le roi de coeur","178410119","King of Hearts","2001-04-10","Regular","MGM Video"
"311550100","Once Upon a Time…in Hollywood","220930119","Once Upon a Time…in Hollywood","2019-11-26","Online Only","Sony Pictures Home Entertainment"
"311720100","Un beau soleil intérieur","206840119","Let The Sunshine In","2019-05-21","Regular","Criterion"
"311740100","Christmas in Conway","165020119","Christmas in Conway","2017-11-21","Regular","Hallmark"
"311760100","Innsae: The Power of Intuition","165030119","Innsae The Power of Intuition","2017-11-21","Regular","Zeitgeist Home"
"311770100","Atheist America","165040119","Atheist America","2017-11-14","Regular","Omnibus"
"311830100","The Lodgers","177160119","The Lodgers","2018-05-29","Online Only","Epic Pictures"
"311840100","Kurenai no buta","165290119","Porco Rosso","2015-02-03","Regular","Walt Disney Home Entertainment"
"311880100","Oh Lucy!","177640119","Oh Lucy!","2018-06-05","Regular","Film Movement Video"
"311930100","The Pirates Of Somalia","167690119","The Pirates Of Somalia","2018-01-09","Regular","Echo Bridge Home Entertainment"
"311950100","Gone Are The Days","173700119","Gone Are The Days","2018-04-10","Regular","Lionsgate Home Entertainment"
"311960100","Paws P.I.","177180119","Paws P I","2018-05-29","Regular","Lionsgate Home Entertainment"
"311990100","Trolls Holiday","165380119","Trolls Holiday","2017-11-28","Regular","Universal Home Entertainment"
"312010100","The Final Year","165410119","The Final Year","2018-01-19","Online Only","Magnolia Home Entertainment"
"312130100","La Passion de Jeanne d’Arc","170630119","The Passion of Joan of Arc","1999-10-19","Regular","Criterion"
"312220100","Kaleidoscope","175130119","Kaleidoscope","2018-05-01","Regular","Shout Factory"
"312280100","The Rape of Recy Taylor","171000119","The Rape of Recy Taylor","2018-03-20","Online Only","The Orchard"
"312310100","Lazer Team 2","175210119","Lazer Team 2","2018-05-01","Regular","Cinedigm"
"312420100","The Wrong Guy","165650119","Wrong Guy The","2017-11-28","Regular","Kino Lorber"
"312430100","Destination Wedding","187400119","Destination Wedding","2018-11-06","Regular","Universal Home Entertainment"
"312440100","John Wick: Chapter 3 — Parabellum","212770119","John Wick: Chapter 3 — Parabellum","2019-08-23","Online Only","Lionsgate Home Entertainment"
"312450100","Won’t You Be My Neighbor?","179910119","Won’t You Be My Neighbor?","2018-08-21","Online Only","Universal Home Entertainment"
"312470100","Foster Boy","251110119","Foster Boy","2020-09-25","Online Only","Gravitas Ventures"
"312480100","In Fabric","222940119","In Fabric","2019-12-10","Online Only","A24"
"312560100","Mario Lanza: The Best of Everything","165500119","Mario Lanza The Best of Everything","2017-11-28","Regular","FilmRise"
"312580100","Heartworn Highways Revisited","165560119","Heartworn Highways Revisited","2017-11-28","Regular","FilmRise"
"312600100","One Christmas Eve","165610119","One Christmas Eve","2017-11-28","Regular","Hallmark"
"312670100","Honey: Rise Up And Dance","173150119","Honey Rise Up And Dance","2018-04-03","Regular","Universal Home Entertainment"
"312680100","Saving Faith","185450119","Saving Faith","2018-09-18","Regular","Lionsgate Home Entertainment"
"312710100","Lowlife","181880119","Lowlife","2018-08-07","Regular","Shout Factory"
"312720100","My Art","168870119","My Art","2018-01-30","Regular","Film Movement Video"
"312900100","Indestructible. El alma de la salsa","189460119","Indestructible: The Soul of Salsa","2018-11-06","Online Only","The Orchard"
"312930100","Toki o kakeru shôjo","165740119","The Girl Who Leapt Through Time","2016-06-07","Regular","Funimation Productions"
"312960100","I Am Sam Kinison","165810119","I Am Sam Kinison","2017-12-22","Regular","Virgil Films and Entertainment"
"313140100","The Goldfinch","221280119","The Goldfinch","2019-11-19","Online Only","Warner Home Video"
"313150100","Kin","186090119","Kin","2018-11-06","Online Only","Lionsgate Home Entertainment"
"313190100","Just Mercy","230260119","Just Mercy","2020-03-17","Online Only","Warner Home Video"
"313210100","Das Versprechen","174410119","Killing For Love","2018-04-17","Regular","Mpi Home Video"
"313270100","Yao Ling Ling","173340119","Goldbuster","2018-04-03","Online Only","Well Go USA Video"
"313460100","Mountain Top","166130119","Mountain Top","2017-12-05","Regular","Cinedigm"
"313470100","Santa Stole Our Dog","166150119","Santa Stole Our Dog","2017-12-05","Regular","Universal Home Entertainment"
"313480100","American Gunslingers","166190119","American Gunslingers","2017-12-05","Regular","Cinedigm"
"313490100","Out of the Wild","166210119","Out of the Wild","2017-12-05","Regular","Sony Pictures Home Entertainment"
"313610100","Love Locks","166470119","Love Locks (2017 Hallmark)","2018-01-02","Regular","Hallmark"
"313620100","Love at First Glance","166490119","Love at First Glance (2017 Hallmark)","2018-01-02","Regular","Hallmark"
"313630100","Death Island: Paranormal Retribution","166500119","Death Island Paranormal Retribution","2018-01-02","Regular","Cinedigm"
"313640100","Bigfoot Country","166510119","Bigfoot Country","2018-01-02","Regular","Cinedigm"
"313650100","No Solicitors","166520119","No Solicitors","2018-01-02","Regular","Cinedigm"
"313660100","Furlough","182680119","Furlough","2018-08-14","Regular","Shout Factory"
"313670100","Run With The Hunted","243010119","Run With The Hunted","2020-06-26","Online Only","Vertical Entertainment"
"313680100","Little Woods","210980119","Little Woods","2019-07-16","Regular","Universal Home Entertainment"
"313690100","Sorry to Bother You","186020119","Sorry to Bother You","2018-10-09","Online Only","Fox Home Entertainment"
"313710100","Le Grand Mechant Renard et Autres Contes...","211000119","The Big Bad Fox & Other Tales","2019-07-16","Regular","Shout Factory"
"313750100","Verão Danado","213480119","Damned Summer","2019-08-13","Regular","IndiePix Video"
"313790100","Aile Aras?nda","198570119","Among Family","2019-02-15","Regular","Netflix"
"313800100","Deep Blue Sea 2","170930119","Deep Blue Sea 2","2018-04-17","Regular","Warner Home Video"
"313810100","Fighting With My Family","202130119","Fighting With My Family","2019-04-30","Online Only","Universal Home Entertainment"
"313820100","Flower","172700119","Flower","2018-05-01","Online Only","Sony Pictures Home Entertainment"
"313830100","Spinning Man","169960119","Spinning Man","2018-06-26","Regular","Lionsgate Home Entertainment"
"313840100","Still/Born","253580119","Still/Born","2018-03-20","Regular","Lionsgate Home Entertainment"
"313890100","Sonic The Hedgehog","231030119","Sonic The Hedgehog","2020-03-31","Online Only","Paramount Home Video"
"313900100","Journey’s End","179610119","Journey’s End","2018-07-03","Regular","Cinedigm"
"313940100","Pet Sematary","209160119","Pet Sematary","2019-06-25","Online Only","Paramount Home Video"
"313950100","Instant Family","193720119","Instant Family","2019-02-19","Online Only","Paramount Home Video"
"313970100","Qi Man Dun Jia","173070119","The Thousand Faces of Dunjia","2018-03-27","Regular","Well Go USA Video"
"314050100","Ji Qi Zhi Xue","183340119","Bleeding Steel","2018-08-21","Regular","Lionsgate Home Entertainment"
"314090100","Day of the Dead: Bloodline","169260119","Day of the Dead: Bloodline","2018-02-06","Regular","Lionsgate Home Entertainment"
"314160100","Hamlet’s Ghost","166600119","Hamlets Ghost","2017-12-12","Regular","Cinedigm"
"314170100","Sasq-Watch!","166610119","Sasq Watch","2017-12-12","Regular","Screen Media Video"
"314180100","In The Aftermath","166630119","In The Aftermath","2017-12-05","Regular","Kino Lorber"
"314280100","Honor Up","174390119","Honor Up","2018-04-17","Regular","Lionsgate Home Entertainment"
"314300100","Luce","220330119","Luce","2019-10-29","Regular","Universal Home Entertainment"
"314310100","Desolation","175200119","Desolation","2018-05-01","Regular","Shout Factory"
"314350100","Pokémon: Detective Pikachu","209380119","Pokémon: Detective Pikachu","2019-08-06","Regular","Warner Home Video"
"314520100","The Addams Family","223950119","The Addams Family","2019-12-24","Online Only","Universal Home Entertainment"
"314550100","Breath","213240119","Breath","2018-10-01","Regular","FilmRise"
"314570100","The Silence","201390119","The Silence","2019-04-12","Regular","Netflix"
"314720100","Looking Glass","173170119","Looking Glass","2018-04-03","Regular","Sony Pictures Home Entertainment"
"314730100","The Gospel According to Andre","178000119","The Gospel According to Andre","2018-09-04","Online Only","Magnolia Home Entertainment"
"314740100","Death House","192620119","Death House","2018-12-11","Regular","Cleopatra Entertainment"
"314750100","The Cured","179600119","The Cured","2018-07-03","Regular","Shout Factory"
"314760100","Beast of Burden","173180119","Beast of Burden","2018-04-03","Regular","Sony Pictures Home Entertainment"
"314840100","Kangaroo","240160119","Kangaroo: A Love Hate Story","2019-06-25","Regular","Passion River"
"314910100","Superfly","183960119","Superfly","2018-08-28","Online Only","Sony Pictures Home Entertainment"
"314980100","The Midnight Man","177600119","The Midnight Man","2018-06-05","Regular","Shout Factory"
"315020100","La Boda de Valentina","218590119","La Boda de Valentina","2018-05-08","Online Only","Lionsgate Home Entertainment"
"315030100","A Christmas Carol","167320119","A Christmas Carol","2012-10-16","Regular","VCI Entertainment"
"315040100","Freak Show","177590119","Freak Show","2018-06-05","Online Only","Shout Factory"
"315050100","Humor Me","174380119","Humor Me","2018-04-17","Regular","Shout Factory"
"315070100","Just Charlie","168880119","Just Charlie","2018-01-30","Regular","Wolfe Video"
"315110100","Yao Mao Zhuan","220120119","Legend of the Demon Cat","2019-10-29","Regular","Well Go USA Video"
"315120100","Xin Li Zui Zhi Cheng Shi Zhi Guang","185190119","The Liquidator","2018-09-11","Regular","Cinedigm"
"315290100","Like Me","173260119","Like Me","2018-04-03","Regular","Kino Lorber"
"315370100","Doctor Who: Twice Upon A Time","186130119","Doctor Who: Twice Upon A Time","2018-02-13","Regular","BBC"
"315490100","Suicide Squad: Hell to Pay","172980119","Suicide Squad Hell to Pay","2018-03-27","Online Only","Warner Home Video"
"315500100","Mind Game","183740119","Mind Game","2018-08-28","Regular","Shout Factory"
"315510100","Yoake tsugeru Rû no uta","196470119","Lu Over The Wall","2019-02-05","Regular","Shout Factory"
"315530100","Submission","178700119","Submission","2018-07-03","Regular","Universal Home Entertainment"
"315570100","Napoli Velata","193260119","Naples in Veils","2019-04-23","Regular","Breaking Glass Pictures"
"315580100","Johnny English Strikes Again","192150119","Johnny English Strikes Again","2019-01-22","Regular","Universal Home Entertainment"
"315600100","Breaking Balls","167580119","Breaking Balls (Documentary)","2017-11-17","Regular","Virgil Films and Entertainment"
"315640100","Basmati Blues","169640119","Basmati Blues","2018-02-06","Online Only","Shout Factory"
"315760100","Scooby-Doo! & Batman: The Brave and the Bold","167630119","Scooby Doo and Batman The Brave and the Bold","2018-01-09","Regular","Warner Home Video"
"315870100","Jupiter Holdja","199830119","Jupiter’s Moon","2019-03-05","Online Only","Under the Milky Way"
"315910100","Bent","176300119","Bent","2018-05-15","Regular","Lionsgate Home Entertainment"
"315920100","The Favourite","196320119","The Favourite","2019-02-12","Online Only","Fox Home Entertainment"
"315930100","The Seagull","186360119","The Seagull","2018-09-25","Regular","Sony Pictures Home Entertainment"
"316000100","Drôles de petites bêtes","195890119","Tall Tales","2019-01-15","Regular","Viva"
"316210100","Getting Grace","189410119","Getting Grace","2018-11-06","Regular","Sony Pictures Home Entertainment"
"316260100","A Bond Unbroken","168000119","Bond Unbroken A","2018-02-13","Regular","Docurama Video"
"316270100","Memorias del subdesarrollo","183820119","Memories of Underdevelopment","2017-02-17","Regular",""
"316360100","Breaking In","179890119","Breaking In","2018-07-24","Online Only","Universal Home Entertainment"
"316420100","When The Starlight Ends","168050119","When The Starlight Ends","2018-03-13","Regular","Cinedigm"
"316470100","Extraordinary","168110119","Extraordinary","2018-01-16","Regular","Universal Home Entertainment"
"316490100","Pornocratie: Les nouvelles multinationales du sexe","168160119","Pornocracy: The New Sex Multinationals","2018-01-16","Regular","FilmRise"
"316530100","Hôhokekyo tonari no Yamada-kun","168220119","My Neighbors the Yamadas","2018-01-16","Regular","Gkids"
"316570100","The Revival","168520119","The Revival","2018-01-23","Regular","Breaking Glass Pictures"
"316580100","Showdown in Manila","171540119","Showdown in Manila","2018-03-06","Regular","Sony Pictures Home Entertainment"
"316590100","West of the Jordan River","177170119","West of the Jordan River","2018-05-29","Regular","Kino Lorber"
